target_batch,max_abs_diff_train,max_abs_diff_test,mean_abs_diff_test
2,2.6645352591003757e-15,1.8189894035458565e-12,2.0773505473406878e-16
3,1.0658141036401503e-14,3.552713678800501e-15,1.6865002877862563e-16
4,2.1316282072803006e-14,7.105427357601002e-15,1.8873288061448247e-16
5,7.105427357601002e-15,2.6645352591003757e-15,1.6211820120734219e-16
6,2.1316282072803006e-14,1.3322676295501878e-15,1.5580409233412697e-16
7,1.4210854715202004e-14,1.7763568394002505e-15,1.559103618424114e-16
8,4.263256414560601e-14,1.7763568394002505e-15,1.6117429766441235e-16
9,2.842170943040401e-14,5.684341886080802e-14,1.5693689006620997e-16
10,2.842170943040401e-14,7.105427357601002e-15,1.7494350540619819e-16
