dataset,protocol,model_name,split_type,n_targets,mean_macro_f1,mean_macro_f1_present,mean_accuracy,mean_balanced_accuracy,median_macro_f1,median_macro_f1_present,std_macro_f1,std_macro_f1_present
uci224,A_cold_batch_transfer,coral_svm,exploratory,9,0.4290795706279651,0.46026082170054017,0.48744392881938187,0.5037094176916121,0.4376146301790222,0.4376146301790222,0.08615597135365094,0.11735549983227522
uci224,A_cold_batch_transfer,routear_logratio_svm,confirmatory,9,0.338297720224608,0.3582106639185093,0.4507658632312784,0.4246217096470764,0.3018877491315594,0.3018877491315594,0.1487587587471673,0.1516567069249314
uci224,A_cold_batch_transfer,ss_svm_rbf,confirmatory,9,0.2945906956244392,0.30890163033304296,0.39551586499099395,0.37549621653247145,0.2895650334294705,0.30041068153502115,0.1109555658588979,0.10377763076202136
uci270,A_cold_batch_transfer,coral_svm,exploratory,9,0.4290795706279651,0.46026082170054017,0.48744392881938187,0.5037094176916121,0.4376146301790222,0.4376146301790222,0.08615597135365094,0.11735549983227522
uci270,A_cold_batch_transfer,hgb,exploratory,9,0.3399357238584736,0.36457606457423636,0.486649236766339,0.4591619311249651,0.2879588303593435,0.2879588303593435,0.13301774785130785,0.1523717229552009
uci270,A_cold_batch_transfer,logreg,exploratory,9,0.31651557406731917,0.3364828447437953,0.47080837397507364,0.44129570235678317,0.26335302977638747,0.2912284349012147,0.14789386905009985,0.1512965809863
uci270,A_cold_batch_transfer,rf,exploratory,9,0.3915485845941103,0.4213674200209236,0.48914290787704867,0.5120511512514465,0.38688930407394756,0.38688930407394756,0.14474781015369964,0.16516339036447156
uci270,A_cold_batch_transfer,routea_core_svm,exploratory,9,0.2945906956244392,0.30890163033304296,0.39551586499099395,0.37549621653247145,0.2895650334294705,0.30041068153502115,0.1109555658588979,0.10377763076202136
uci270,A_cold_batch_transfer,routear_blockcomp_svm,exploratory,9,0.4076568958106759,0.43561498935729087,0.49949597102139187,0.47502214613397065,0.3904116660214221,0.42222588855666454,0.15966820590238612,0.16979399892631955
uci270,A_cold_batch_transfer,routear_combined_svm,exploratory,9,0.32760674434456877,0.3515589132472969,0.4349467135555157,0.4257073978109439,0.2850807407156641,0.31076923076923074,0.19377120380250656,0.2070855032234357
uci270,A_cold_batch_transfer,routear_combined_svm_noscaler,exploratory,9,0.41409989004856845,0.4416705487302218,0.5013918250613936,0.5223538275917843,0.38630112967462366,0.3967225559787111,0.07592809025223049,0.08663608515474142
uci270,A_cold_batch_transfer,routear_logratio_svm,confirmatory,9,0.338297720224608,0.3582106639185093,0.4507658632312784,0.4246217096470764,0.3018877491315594,0.3018877491315594,0.1487587587471673,0.1516567069249314
uci270,A_cold_batch_transfer,ss_svm_rbf,confirmatory,9,0.2945906956244392,0.30890163033304296,0.39551586499099395,0.37549621653247145,0.2895650334294705,0.30041068153502115,0.1109555658588979,0.10377763076202136
uci270,B_rolling_update,coral_svm,exploratory,9,0.5859006262204622,0.6270624644796673,0.6983475044387569,0.6820886239849486,0.5608854832640684,0.6135011193808525,0.11555682538220281,0.15352626332976033
uci270,B_rolling_update,hgb,exploratory,9,0.6659586737407459,0.7125887741807633,0.7595528835845831,0.750956765817709,0.6789949837245809,0.6789949837245809,0.08851232768134629,0.13450389198575924
uci270,B_rolling_update,logreg,exploratory,9,0.7377847952728843,0.7857326362288729,0.8192252006886398,0.8308717255151999,0.7010760027505786,0.7677807982839429,0.0918195951009312,0.11175257579395308
uci270,B_rolling_update,rf,exploratory,9,0.7144216329107685,0.7637823756905867,0.7985126506249967,0.7933785444290764,0.7104389001783301,0.77664954636291,0.07907963279069744,0.12263638377301017
uci270,B_rolling_update,routea_core_svm,exploratory,9,0.72577655783612,0.7776266582493622,0.7949788296203871,0.8152149981569767,0.7515316851378233,0.7516258958460152,0.10151354724512875,0.15003264766035704
uci270,B_rolling_update,routear_blockcomp_svm,exploratory,9,0.7378698459681463,0.7907642190145254,0.8286049268146104,0.8226278901619133,0.7639798709409327,0.7639798709409327,0.13725707157812145,0.17840843262765405
uci270,B_rolling_update,routear_combined_svm,exploratory,9,0.774674589501817,0.8273066841370911,0.8553958724391615,0.853782151337373,0.7524583306983179,0.8856873395306778,0.09150895172611145,0.12841346510757584
uci270,B_rolling_update,routear_combined_svm_noscaler,exploratory,9,0.74133970703986,0.7930636466409093,0.8078666394932957,0.8293300572073106,0.750280738665348,0.8310574362584887,0.11974077335177986,0.15687540426439536
uci270,B_rolling_update,routear_logratio_svm,confirmatory,9,0.6984908025932357,0.7437135129028261,0.7840201440930175,0.7773827121812749,0.7493079996258736,0.7493079996258736,0.11713515312807068,0.1442121057117255
uci270,B_rolling_update,ss_svm_rbf,confirmatory,9,0.672865356966685,0.714215282781423,0.7575567572591991,0.7462563335088163,0.73353817984597,0.73353817984597,0.16204122965337261,0.1808114194243012
