preprocessing,value_column,phone,solution_cn,solution_en,grid_n,n_fixed_spectra,n_reassembly_spectra,comparison,pairwise_count,pearson_r_mean,pearson_r_median,pearson_r_min,pearson_r_max,cosine_similarity_mean,cosine_similarity_median,cosine_similarity_min,cosine_similarity_max,rmse_mean,rmse_median,rmse_min,rmse_max,mae_mean,mae_median,mae_min,mae_max,sam_degree_mean,sam_degree_median,sam_degree_min,sam_degree_max,comparison_unit,independence_note
raw_effective,raw_transmittance,Redmi K60,红色溶液,red colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8734015854077083,0.8669412867539246,0.6966796055718465,0.999229958392724,0.9978000363305224,0.997798178991494,0.9943257308877124,0.9999890347535416,0.0641958212776852,0.069831394685495,0.0084182524395955,0.1096304148369873,0.0457906055438363,0.0491129771717527,0.0067866695242554,0.0802632610900807,3.5410289014261265,3.802836830576364,0.2683164046016425,6.106581636987864,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
raw_effective,raw_transmittance,Redmi K60,蓝色溶液,blue colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8699976577808312,0.8762606599345759,0.6482402961462751,0.990343734450286,0.9945896410370676,0.9953984403444928,0.9829088649059368,0.9996748454664304,0.0875132161231718,0.0854171619762549,0.0229910505876793,0.1779018447244278,0.0507301169652317,0.05181434218406,0.0141318969590493,0.0903712248952345,5.475942247279937,5.498635374989537,1.4611483282643185,10.608245941851411,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
raw_effective,raw_transmittance,Redmi K60,黄色溶液,yellow colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.9838384226326388,0.9892375530429318,0.946111408442355,0.9999311780888832,0.9973086633766712,0.9982843184426904,0.9913292727911313,0.99998655349768,0.0639450314068649,0.0569667553188652,0.0047088722029527,0.1386937414596245,0.0403172108394475,0.0322480444199295,0.0031791408508515,0.0957949613497966,3.759005406757405,3.3567428115184934,0.2971274545651932,7.550569264233658,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg,sg_transmittance,Redmi K60,红色溶液,red colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8736008369751291,0.8670906988199549,0.6967188636726087,0.9992311124730272,0.9978039050121892,0.9978015935267424,0.9943294170982416,0.9999890607334324,0.0641371031396204,0.0697709652142999,0.008412940398578,0.1096007604441934,0.045765423553058,0.0490947042783482,0.0067861539885294,0.0802703438354423,3.5371348655410357,3.7998857135146262,0.2679983553194942,6.104595907401138,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg,sg_transmittance,Redmi K60,蓝色溶液,blue colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8700057809117318,0.8762849902083544,0.6483385233079307,0.9903842647726108,0.9945913438309948,0.995398950354653,0.982919516491456,0.999676272553486,0.0874992019494736,0.0854119580548641,0.0229427874306828,0.1778512145059883,0.0507127382908977,0.0517904222066847,0.014108335943779,0.0903262762400684,5.475049259224551,5.498327699527891,1.4579381752517964,10.60493030346925,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg,sg_transmittance,Redmi K60,黄色溶液,yellow colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.9838863386211852,0.9892982505278132,0.9461965254488178,0.9999313884265038,0.9973164451472338,0.9982933019670134,0.9913419768235308,0.999986587362965,0.0638483901932619,0.0569472691431506,0.0047029913516076,0.1386293581795022,0.0402821737214738,0.0322034943488573,0.003178051926632,0.0957982175258198,3.752060456359486,3.347940601902499,0.296753057130595,7.545027814508979,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg_snv,sg_snv_value,Redmi K60,红色溶液,red colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8736008369751291,0.8670906988199553,0.6967188636726093,0.999231112473027,0.8736009158258684,0.86709078115908,0.6967190402213518,0.999231111335377,0.4718737611325976,0.5147731006396079,0.0391508672129764,0.7776107282639528,0.3244179712705073,0.3595417587586262,0.0322224021976551,0.5243610260081222,27.43199338393471,29.87768997303037,2.246969566894034,45.83563872589447,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg_snv,sg_snv_value,Redmi K60,蓝色溶液,blue colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.8700057809117318,0.876284990208354,0.6483385233079308,0.9903842647726112,0.8700056219087308,0.8762848021414513,0.6483385561161907,0.9903842701007858,0.4762921413593206,0.4963844787677542,0.1384856334832048,0.8375664966599962,0.3236900783279097,0.3250314155314334,0.0920979420246192,0.595276416268917,27.72354410489855,28.7982501820974,7.952018433003673,49.58354706150854,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
sg_snv,sg_snv_value,Redmi K60,黄色溶液,yellow colored solution,512,10,12,fixed assembly vs repeated reassembly,120,0.9838863386211856,0.9892982505278132,0.9461965254488178,0.999931388426504,0.9838863426886356,0.9892982589319428,0.9461965609856798,0.999931388479352,0.1604118103658911,0.1460468191030458,0.0116939317551286,0.3274924128993595,0.1022973221988382,0.0790208473021039,0.0079817512244315,0.2147252852327184,9.224135108037244,8.389648586232003,0.6711794266394739,18.88032025557886,all fixed-spectrum by reassembly-spectrum pairwise comparisons within the same phone-solution group,Technical-repeat pairwise comparisons are descriptive and are not independent inferential units.
